category,market_tier,condition,is_premium_brand,tech_generation,ram_gb,storage_gb,size_value,performance_value,power_wattage,resolution_standard,cpu_gpu_tier,connectivity,brand,pack_count,confidence,original_title,original_row_id,error_log
Audio & Video Equipment,Mainstream,New,True,Current-Gen,,,,,,FHD (1080p),,Wired,Logitech,1.0,1.0,"Logitech Brio 501 Full HD Webcam with Auto Light Correction,Show Mode, Dual Noise Reduction Mics, Privacy Cover, Works with Microsoft Teams, Google Meet, Zoom, USB-C Cable - Black",1672.0,
"Desktops, Workstations & Servers",Mainstream,New,False,Current-Gen,16.0,500.0,,,,4K/UHD (2160p),N150,WiFi 6,Beelink,1.0,1.0,"Beelink Mini S13 Mini PC,13th Intel Twin Lake-N150 (up to 3.6GHz, Upgraded N100), 16GB DDR4 500GB M.2 SSD, Mini Desktop Computer Support 4K Dual Display/USB 3.2/WiFi 6/BT 5.2 for HTPC/Office/Business",1673.0,
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Energizer,2.0,0.9,"Energizer MAX 9V Batteries (2 Pack), 9 Volt Alkaline Batteries",1674.0,
Smartphones & Wearables,Premium,New,True,Current-Gen,,,,,,,,,Garmin,1.0,1.0,"Garmin Edge 540, Compact GPS Cycling Computer with Button Controls, Targeted Adaptive Coaching, Advanced Navigation and More",1675.0,
Displays & Mounting,Mainstream,New,False,Current-Gen,,,15.6,,,FHD (1080p),,USB-C,ASUS,1.0,0.95,"ASUS ZenScreen 15.6” 1080P Portable Monitor (MB16ACV) - Full HD, IPS, Eye Care, Flicker Free, Blue Light Filter, Kickstand, USB-C Power Delivery, for Laptop, PC, Phone, Console",1676.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Canon,1.0,0.9,"Canon Genuine 069 Black Toner Cartridge Compatible with MF753Cdw, MF751Cdw, LBP674Cdw",1677.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,Wireless,Brother,1.0,0.9,"Brother HL-L2480DW Wireless Compact Monochrome Multi-Function Laser Printer with Copy and Scan, Duplex, Mobile, Black & White | Includes Refresh Subscription Trial(1), Works with Alexa",1678.0,
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,Bluetooth 6.0,Baseus,1.0,0.95,"Baseus Bass BP1 Pro Noise Cancelling Wireless Earbuds, Real-Time Adaptive Noise Cancelling, Adaptive Active EQ, LDAC Hi-Res Sound, 6-Mic AI Clear Calls, 55H Playtime, IP55 Waterproof, Bluetooth 6.0",1679.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,HP,1.0,0.9,HP 32A | CF232A | Toner-Cartridge | Black-Drum,1680.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Fellowes,1.0,1.0,"Fellowes Powershred Performance Shredder Oil, 12 oz. Extended Nozzle Bottle (35250) (Pack of 1)",1681.0,
Peripherals & Input Devices,Budget,New,False,Current-Gen,,,,,,,,,Casio,1.0,0.95,"Casio HR-170RC Plus – Mini Desktop Printing Calculator | Check & Correct, Cost/Sell/Margin, Dual-Color Print | Ideal for Taxes, Bookkeeping & Accounting Tasks",1682.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,2.0,1.0,"HP Original 26A Black Toner Cartridges (2-Pack) | Works Laserjet Pro M402 Series, Laserjet Pro MFP M426 Series | CF226AD1, 14.25 x 8.03 x 7.8",1683.0,
Laptops & Chromebooks,Mainstream,New,False,Current-Gen,16.0,256.0,12.0,,,,Snapdragon X Plus (8 Core),,Microsoft,1.0,1.0,"Microsoft Surface Pro 2-in-1 Laptop/Tablet (2025), Windows 11 Copilot+ PC, 12"" Touchscreen Display, Snapdragon X Plus (8 Core), 16GB RAM, 256GB Storage, Platinum",1684.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,0.75,,,,,Wired,Brother,1.0,0.95,"Brother P-Touch PT-D410 Home / Office Advanced Label Maker | Connect via USB to Create and Print on TZe Label Tapes up to ~3/4 inch, White",1685.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,19.0,,,,Wired,Canon,1.0,1.0,"Canon imageCLASS MF3010 VP - Wired Monochrome Multifunction Laser Printer with Scanner, Copier, USB Cable Included, Up To 2,300 Page Toner Yield in Box, 19 PPM, Black",1686.0,
"Desktops, Workstations & Servers",Mainstream,New,True,Current-Gen,,,,,,,i5,,Intel,1.0,0.9,Intel® Core™ i5-14600K Desktop Processor,1687.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Epson,2.0,0.9,"Epson 812 DURABrite Ultra Ink High Capacity Black & Color Cartridge Combo Pack (T812XL-XCS) Works with Workforce Pro WF-7310, WF-7820, WF-7840, Workforce EC-C7000",1688.0,
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,GE,1.0,1.0,"GE Pro 6-Outlet Extender, Surge Protector, Side Access, Wall Tap Adapter, 3-Prong, 1200 Joules, Warranty, UL Listed, White, 10353",1689.0,
PC Components (Core),Premium,New,True,Current-Gen,,2048.0,,7400.0,,,,,Predator,1.0,1.0,"Predator M.2 SSD 2TB GM7000 with DRAM Cache NVMe 1.4 2280 PCIe Gen4×4 Ultra high Speed (Maximum Read: 7400MB/s, max Write: 6700MB/s) 3D NAND TLC Internal SSD Compatible with PS5 Pro - BL.9BWWR.106",1690.0,
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,Bluetooth,VIZIO,1.0,0.9,"VIZIO 5.1.2 Elevate SE Soundbar, Wireless Subwoofer, Surround Sound w/Dolby Atmos & DTS:X, Bluetooth Speaker, QuickFit™ Compatible – SL512X-08 (New, 2024 Model)",1691.0,
Peripherals & Input Devices,Mainstream,New,True,Current-Gen,,,,,,,,Wireless,Razer,1.0,0.95,"Razer Wolverine V3 Pro Wireless Gaming Controller: Licensed for Xbox Series X|S, Xbox One, Windows PC - 6 Remappable Buttons - Fast Triggers - Customizable Thumbsticks - Wired Tournament Mode - Black",1692.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,,Brother,1.0,0.9,"Brother QL-800 High-Speed Professional Label Printer, Plug & Label Feature, Brother Genuine DK Pre-Sized Labels, Multi-System Compatible – Black & Red Printing Available (Required USB Cable Included)",1693.0,
Smartphones & Wearables,Premium,New,True,Current-Gen,,,,,,,,,Garmin,1.0,0.9,"Garmin Forerunner 55 GPS Running Smartwatch, Black",1694.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,EPSON,1.0,1.0,"EPSON 812 DURABrite Ultra Ink Extra-high Capacity Black Cartridge (T812XXL120-S) Works with WorkForce Pro WF-7310, WF-7820, WF-7840, WorkForce EC-C7000",1695.0,
Cameras & Photography,Mainstream,New,False,Current-Gen,,,,,,,,,Bushnell,1.0,0.9,Bushnell Velocity Speed Gun -,1696.0,
PC Components (Core),Mainstream,New,True,Current-Gen,,,,,1000.0,,,,CORSAIR,1.0,1.0,CORSAIR SF1000 (2024) Fully Modular Low Noise 80 Plus Platinum ATX Power Supply – 3.0 Compliant – PCIe 5.0 Ready – SFX-to-ATX Bracket Included – Black,1697.0,
Smartphones & Wearables,Premium,New,True,Current-Gen,,,,,,,,,Garmin,1.0,0.9,"Garmin vívosmart® 5, Fitness Tracker, Long-Lasting Battery, Simple Design, Black",1698.0,
Laptops & Chromebooks,Premium,New,True,Current-Gen,32.0,1024.0,8.0,120.0,,FHD (1080p),Intel Ultra 7-258V,Thunderbolt 4,MSI,1.0,1.0,"MSI Claw PC Gaming Handheld: Intel Ultra 7-258V, 8"" FHD 120Hz Display, 32GB LPDDR5, 1TB NVMe SSD, MicroSD Card Reader, Thunderbolt 4, Win 11 Home: Black 8 AI+ A2VM-001US",1699.0,
Peripherals & Input Devices,Mainstream,New,True,Current-Gen,,,,,130.0,,,Thunderbolt,Dell,4.0,0.9,Dell Thunderbolt WD22TB4 4 Dock 130W,1700.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,EPSON,1.0,0.95,EPSON 320 Standard Capacity (T320) Works with PictureMate PM-400,1701.0,
Audio & Video Equipment,Mainstream,New,True,Current-Gen,,,,,,,,,Klipsch,1.0,1.0,"Klipsch R-120SW Subwoofer, Black",1702.0,
Audio & Video Equipment,Budget,New,False,Current-Gen,,,,1200.0,1200.0,,,,Taramps,1.0,0.9,"Taramps TS 1200x4 Amplifier Car Audio 1200W RMS 2 Ohms 4 Channels 2 Bridged Channels, Full Range Crossover Fixed RCA/Wire Input - Multichannel Class D",1703.0,
Peripherals & Input Devices,Premium,New,True,Current-Gen,,,,,,,,"Bluetooth, Wired, 2.4GHz",Razer,1.0,0.95,"Razer Pro Click V2 Vertical Wireless Mouse: 6 Button Ergonomic Design - One Click AI Prompt - Supports Windows & Mac - Multi Device Connectivity via 2.4GHz, Bluetooth, or USB C Wired Mode - Chroma RGB",1704.0,
Displays & Mounting,Mainstream,New,False,Current-Gen,,,32.0,60.0,,4K/UHD (2160p),,"USB Type-C, HDMI, DisplayPort",LG,1.0,1.0,"LG 32UP83AK-W 32-inch Ultrafine 4K UHD (3840 x 2160) IPS Computer Monitor, 60Hz, HDR10, Built-in Speaker, Reader Mode, HDMI, DisplayPort, USB Type-C 60W PD, Tilt/Height/Pivot Adjustable Stand, White",1705.0,
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Canon,2.0,1.0,"Canon PG-245 / CL-246 Genuine Ink Value Pack (2 Cartridges), Compatible with iP2820, MG2420/2924/2920/3020/2522/2525, MX492, TS3120/302/302a/202/202a/4520/3320",1706.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Duracell,3.0,1.0,"Duracell 303/357/76 Silver Oxide Button Battery, 3 Count Pack, 303/357/76 1.5 Volt Battery, Long-Lasting For Watches, Devices, Calculators, And More",1707.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,12.0,,,,,,DYMO,6.0,1.0,"DYMO Authentic LT Plastic Labeling Tape for LetraTag Label Makers, 1/2"" (12mm), Black Print On White Tape, 6-Pack",1708.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,,Lian Li,3.0,0.95,Lian Li UNL Fan SL-Infinity 120-Triple Pack-ARGB Fan (Non-Wireless) -Infinity Mirror-Daisy-Chain Design. Customizable Lighting Effects-One Cable Connection-with Controller-Black-UF-SLIN120-3B,1709.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,65.0,,,,Dell,1.0,1.0,"Dell 65W USB-C Laptop Charger,Latitude 5400 5410 5420 5430 5440 5450 Power AC Adapter with Power Cord Cable, Black, HA65NM190",1710.0,
Cameras & Photography,Premium,New,True,Current-Gen,,128.0,,,,4K/UHD (2160p),,,DJI,1.0,0.9,"DJI Air 3S Drone with RC 2 Fly More Combo (with Screen) 4K HDR, 45-Min Max Flight Time Bundle with 128GB Memory, Landing Pad, Backpack, CPS 2 Year Warranty, Lens Cleaning Kit and More",1711.0,
Displays & Mounting,Mainstream,New,True,Current-Gen,,,49.0,240.0,,2K/QHD (1440p),,"G-Sync Compatible, AMD FreeSync Premium Pro",Samsung,1.0,1.0,"Samsung 49"" Odyssey OLED (G93SC) Series Curved Gaming Monitor w QD-OLED, 240Hz, 0.03ms, DQHD, G-Sync Compatible, AMD FreeSync Premium Pro,Height Adjustable Stand,3 Yr Warranty,LS49CG932SNXZA",1712.0,
Peripherals & Input Devices,Mainstream,New,True,Current-Gen,,,,,180.0,,,,Dell,1.0,1.0,Dell WD19TB Thunderbolt Docking Station with 180W AC Power Adapter (130W Power Delivery),1713.0,
PC Components (Core),Mainstream,New,False,Current-Gen,64.0,,,5600.0,,,,,Kingston,2.0,1.0,Kingston FURY Impact 64GB (2x32GB) 5600MT/s DDR5 CL40 Laptop Memory Kit of 2 | Lower Power Comsumption | Intel XMP 3.0 | Plug N Play | KF556S40IBK2-64,1714.0,
Displays & Mounting,Mainstream,New,False,Current-Gen,,,27.0,165.0,,2K/QHD (1440p),,"DisplayPort, HDMI",ASUS,1.0,0.95,"ASUS TUF Gaming 27"" 2K HDR Gaming Monitor (VG27AQ) - QHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, G-SYNC Compatible, VESA Mountable, DisplayPort, HDMI ,Black",1715.0,
Displays & Mounting,Mainstream,New,False,Current-Gen,,,34.0,,,,,,Ergotron,1.0,1.0,"Ergotron – LX Monitor Arm, Single Monitor Desk Mount – fits Flat Curved Ultrawide Computer Monitors up to 34 Inches, 7 to 25 lbs, VESA 75x75mm or 100x100mm – Matte Black",1716.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,0.9,"HP USB-C G5 Essential Dock, Black",1717.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Casio,1.0,0.9,"Casio fx-991CW– Advanced Scientific Calculator with High-Res 4-Tone Display | Natural Textbook Display | 540+ Functions, Numeric Calculus, Matrix Solver | Ideal for Engineering, Science & Exams",1718.0,
Displays & Mounting,Mainstream,New,True,Current-Gen,,,32.0,120.0,140.0,4K/UHD (2160p),,Thunderbolt,Dell,1.0,0.95,Dell UltraSharp 32-inch 4K Thunderbolt Hub Monitor with 120Hz and 140W PD (IPS Black) - U3225QE,1719.0,
"Desktops, Workstations & Servers",Mainstream,New,False,Current-Gen,,0.0,,,,,,,Synology,2.0,0.9,Synology 2-Bay DiskStation DS223j (Diskless),1720.0,
Cameras & Photography,Mainstream,New,False,Current-Gen,,,,,,,,Wi-Fi & NFC,Canon,1.0,0.95,Canon PowerShot ELPH 360 Digital Camera w/ 12x Optical Zoom and Image Stabilization - Wi-Fi & NFC Enabled (Black),1721.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,PowerA,1.0,0.95,PowerA USB Charging Cable for PlayStation 4,1722.0,
Networking & Smart Home,Mainstream,New,False,Current-Gen,,,,30.0,30.0,,,PoE,UBIQUITI,1.0,0.95,"UBIQUITI POE Injector, 802.3AT, 30W of PoE+ Power, Suitable For U6 AP U6-LR, U6-LITE & U6-PRO",1723.0,
Networking & Smart Home,Mainstream,New,False,Current-Gen,,,,,,,,,Tripp Lite,1.0,0.9,"Tripp Lite 12 Outlet Surge Protector Power Strip, 8ft Cord, Right-Angle Plug, Tel/Modem/Coax/Ethernet Protection, RJ11, RJ45, & $250,000 INSURANCE (TLP1208SAT) Black",1724.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,1.0,"HP 215A Cyan Toner Cartridge for HP Printers | Works with Color LaserJet Pro M155, Color LaserJet Pro MFP M182, M183 Series | W2311A",1725.0,
PC Components (Core),Mainstream,New,False,Current-Gen,,,360.0,14.0,,,,,Cooler Master,1.0,0.95,"Cooler Master MasterLiquid 360L Core 360mm Close-Loop AIO Liquid Cooler, ARGB Sync, Gen S Coldplate Pump, 120mm PWM, CryoFuze 14W/mK, AMD Ryzen AM5/AM4, Intel LGA1700/1200 (MLW-D36M-A18PZ-R1) , Black",1726.0,
Networking & Smart Home,Mainstream,New,False,Current-Gen,,,,,,2K/QHD (1440p),,Wi-Fi,eufy,1.0,0.95,eufy Security Indoor Cam C120 | Plug-in Security Camera 3 MP | 2K with Wi-Fi | IP Camera | Voice Assistant Compatibility | Night Vision | Two-Way Audio | HomeBase 3 Compatible | Audio and Motion Alert,1727.0,
Peripherals & Input Devices,Mainstream,New,True,Current-Gen,,,,1000.0,,,,,Logitech,1.0,1.0,"Logitech G923 Racing Wheel and Pedals, TRUEFORCE up to 1000 Hz Force Feedback, Gaming Steering Wheel PS5, PS4, PC, Mac, Genuine Leather- Black",1728.0,
Accessories & Consumables,Budget,New,False,Current-Gen,,,,,,,,,Texas Instruments,1.0,0.95,"Texas Instruments TI-84 Plus Graphing Calculator, Black",1729.0,
Displays & Mounting,Premium,New,True,Current-Gen,,,45.0,165.0,90.0,5K/8K+,,USB Type-C,LG,1.0,0.95,"LG 45GX950A-B 45-inch Ultragear 5K2K WUHD (5120 x 2160) OLED Curved Gaming Monitor, Dual-Mode, 165Hz, 0.03ms, NVIDIA G-Sync, AMD FreeSync Premium Pro, HDR True Black 400, USB Type-C 90W, DP2.1, Black",1730.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,100.0,,,USB-C,UGREEN,1.0,0.9,"UGREEN Revodok Pro 7 in 1 Docking Station Dual Monitor, USB C Hub Dual 4K@60Hz HDMI Display, 10Gbps USB-A/C Data Ports, 100W PD, Aluminum Laptop Docking Station for HP, Thinkpad, Dell and More",1731.0,
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,HP,1.0,1.0,"HP 78A Black Toner Cartridge | Works with HP LaserJet Pro P1566, P1606 Series, HP LaserJet Pro MFP M1536 Series | CE278A",1732.0,
Accessories & Consumables,Mainstream,New,True,Current-Gen,,,,,,,,,Canon,1.0,0.9,"Canon Ivy 2 Mini Photo Printer, Print from Compatible iOS & Android Devices, Sticky-Back Prints, Pure White",1733.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,,StarTech.com,1.0,0.9,"StarTech.com Portable Laptop Crash Cart Adapter, USB/VGA KVM Console, File Transfer & Video Capture, Windows/Linux/MacOS, TAA",1734.0,
Accessories & Consumables,Mainstream,New,True,Current-Gen,,,,,,,,Bluetooth,Samsung,1.0,0.9,"Samsung SmartTag2 (2023) Bluetooth + UWB, IP67 Water and Dust Resistant, Findable via App, 1.5 Year Battery Life - Black (International Version)",1735.0,
Displays & Mounting,Premium,New,True,Current-Gen,,,27.0,480.0,,2K/QHD (1440p),,,ASUS,1.0,1.0,"ASUS ROG Swift OLED 27” 1440P Gaming Monitor (PG27AQDP) - WOLED, QHD, 480Hz, 0.03ms, G-SYNC Compatible, Custom Heatsink, AI Assistant, DisplayHDR400 True Black, 99% DCI-P3, True 10-bit, DisplayWidget",1736.0,
Displays & Mounting,Mainstream,New,False,Current-Gen,,,,,,,,,Mounting Dream,1.0,1.0,"Mounting Dream UL Listed TV Wall Mount for Most 26-55 Inch TVs, Full Motion TV Mount with Perfect Center Design, Articulating Wall Mount TV Bracket Swivel and Tilt, Max VESA 400x400mm, Up to 77LBS",1737.0,
Peripherals & Input Devices,Mainstream,New,False,Current-Gen,,,,,,,,Bluetooth,8Bitdo,1.0,0.95,"8Bitdo 64 Bluetooth Controller for Analogue 3D, Switch, Switch 2, Windows, and Android (Black)",1738.0,
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Amazon Basics,1.0,1.0,"Amazon Basics Battery Organizer with Tester, Wall-Mounted Design, Handle Holds 110 Batteries, Clear/Black",1739.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,D'Addario,1.0,1.0,"D'Addario Guitar Tuner - Micro Headstock Tuner - Tuner for Acoustic Guitar, Electric Guitar, Bass Guitar, Mandolin, Banjo, Ukulele - Compact & Discrete - Clip On - 1 Pack",1740.0,
Displays & Mounting,Mainstream,New,True,Current-Gen,,,,,,,,,Samsung,1.0,0.9,SAMSUNG TV Remote Control BN59-01199F by Samsung,1741.0,
Accessories & Consumables,Budget,New,False,Current-Gen,,,,,,,,,Sharp,1.0,0.9,Sharp EL-1197PIII Heavy Duty Color Printing Calculator with Clock and Calendar,1742.0,
Cameras & Photography,Budget,New,False,Legacy,,,,,,,,,Fujifilm,8.0,1.0,"Fujifilm QuickSnap Flash 400 One Time Use 35mm Camera with Flash, 27 Exposures, 8-Pack",1743.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Brother,3.0,0.95,"Brother Genuine Standard Yield Color Ink Cartridges, LC1013PKS, Replacement Color Ink Three Pack, Includes 1 Cartridge Each of Cyan, Magenta & Yellow, Page Yield Upto 300 Pages/Cartridge, LC101",1744.0,
Cameras & Photography,Mainstream,New,False,Current-Gen,,,,10.0,,,,,Bushnell,1.0,0.95,Bushnell H2O Xtreme 10x42 Compact Waterproof Binoculars with Fully Multi Coated Lens for Hunting and Boating 181042C,1745.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,HP,1.0,0.95,"HP 201A Black Toner Cartridge | Works with HP Color LaserJet Pro M252, HP Color LaserJet Pro MFP M277 Series | CF400A",1746.0,
Accessories & Consumables,Premium,Renewed/Refurbished,True,Current-Gen,,,,,,,,,Apple,1.0,1.0,"Apple Magic Keyboard for 12.9-inch iPad Pro 3rd Gen, 4th Gen, & 5th Gen - Black (Renewed)",1747.0,
Audio & Video Equipment,Mainstream,New,True,Current-Gen,,,,,,,,Bluetooth,Marshall,1.0,0.95,Marshall Emberton III Portable Bluetooth Speaker - Cream,1748.0,
Accessories & Consumables,Budget,New,False,Current-Gen,,,,,,,,,Insta360,1.0,0.95,Insta360 X5 Battery,1749.0,
Accessories & Consumables,Mainstream,New,True,Current-Gen,,,,,,,,,Logitech,1.0,1.0,"Logitech Crayon Digital Pencil (iPads with USB-C Ports) Featuring Apple Technology, No Lag Pixel-Precision, and Dynamic Smart Tip with Fast Charge - Silver",1750.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,EPSON,1.0,0.95,"EPSON 127 DURABrite Ultra Ink Black Cartridge For NX-530, NX-625, WF-3520, WF-3530, WF-3540, WF-545, WF-60, WF-630, WF-633, WF-635, WF-645, WF-7010, WF-7510, WF-7520, WF-840, WF-845,Water Resistant",1751.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Brother,1.0,1.0,"Brother Genuine Cartridge TN920XL High Yield Black Toner,1 Pack",1752.0,
Displays & Mounting,Mainstream,New,False,Current-Gen,,,,,,,,,Mounting Dream,1.0,0.95,"Mounting Dream TV Wall Mount Swivel and Tilt for Most 26-55 Inch TV, TV Mount Perfect Center Design, Full Motion TV Mount Bracket with Articulation, up to VESA 400x400mm, 60 lbs, MD2377",1753.0,
Audio & Video Equipment,Premium,New,False,Current-Gen,,,,,,,,Wireless,Singing Machine,1.0,0.9,"Singing Machine Portable Wireless Microphone (Black) - Premium Unidirectional UHF Wireless Mic for Singing, Speeches & Events - Cordless Mic Compatible with Karaoke Machines, PA Systems & More",1754.0,
PC Components (Core),Mainstream,New,False,Current-Gen,,32.0,,,,,ATmega328P,USB,Arduino,1.0,0.95,"Arduino Uno REV3 [A000066] – ATmega328P Microcontroller, 16MHz, 14 Digital I/O Pins, 6 Analog Inputs, 32KB Flash, USB Connectivity, Compatible with Arduino IDE for DIY Projects and Prototyping",1755.0,
Accessories & Consumables,Budget,New,False,Current-Gen,,1024.0,,,,,,,WD_Black,1.0,1.0,"WD_Black 1TB C50 Storage Expansion Card, Officially Licensed for Xbox – Quick Resume, Plug & Play, NVMe SSD Expansion for Xbox Series X|S Gaming Consoles - WDBMPH0010BNC-WCSN",1756.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,8.0,,,,,,Klein Tools,1.0,0.9,"Klein Tools 1010 Multi Tool Long Nose Wire Cutter, Made in USA, Wire Crimper, Stripper and Bolt Cutter Multi-Purpose Electrician Tool, 8-Inch Long",1757.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,1.0,"HP 950 Black Ink Cartridge | Works with HP OfficeJet 8600, HP OfficeJet Pro 251dw, 276dw, 8100, 8610, 8620, 8630 Series | Eligible for Instant Ink | CN049AN",1758.0,
Displays & Mounting,Mainstream,New,False,Current-Gen,,,27.0,100.0,,2K/QHD (1440p),,"HDMI 2.0b, DP (1.2a)",MSI,1.0,0.95,"MSI PRO MP275Q 27 Inch WQHD Office Monitor - 2560 x 1440 IPS Panel, 100 Hz, Eye-Friendly Screen, Built-in Speakers, Tilt-Adjustable - HDMI 2.0b, DP (1.2a)",1759.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,Epson,1.0,1.0,"EPSON 252 DURABrite Ultra Ink Standard Capacity Color Combo Pack (T252520-S) Works with WorkForce WF-3620, WF-3640, WF-7110, WF-7610, WF-7620, WF-7710, WF-7720, WF-7210",1760.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,5.0,1.0,"HP Original 910XL Black, Cyan, Magenta, Yellow High-Yield Ink Cartridges (5-Pack) | Works OfficeJet 8010, 8020 Series OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 6ZA58AN",1761.0,
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,EPSON,2.0,0.95,"EPSON 702 DURABrite Ultra Ink Standard Capacity Black & Color Cartridge Combo Pack (T702120-BCS) Works with WorkForce Pro WF-3720, WF-3730, WF-3733",1762.0,
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,,Klipsch,2.0,0.95,"Klipsch R-51M Bookshelf Speaker (Pair), Black",1763.0,
Cameras & Photography,Mainstream,New,False,Current-Gen,,,5.5,1000.0,,FHD (1080p),,HDMI,FEELWORLD,1.0,1.0,FEELWORLD P6X Camera Field Touchscreen Monitor 5.5 Inch 1000 Nit with Aluminium Housing 1920x1080 IPS 9:16 Maker HDMI2.0 3D LUT HDR Waveform DSLR Camera for Sony Canon Nikon Fuji Photography,1764.0,
Cameras & Photography,Mainstream,New,False,Current-Gen,,,6.0,1200.0,,FHD (1080p),,,FEELWORLD,1.0,0.95,FEELWORLD P6XL Camera Field Touchscreen Monitor 6 Inch 1200 Nit Bright Built-in Battery with Aluminium Housing 1920x1080 IPS 3D LUT HDR Waveform DSLR Camera for Sony Canon Nikon Fuji Photography,1765.0,
Cameras & Photography,Mainstream,New,True,Current-Gen,,,,,,,,,Canon,1.0,0.9,Canon RF28-70mm F2.8 is STM,1766.0,
Cameras & Photography,Mainstream,New,False,Current-Gen,,,7.0,1200.0,,2K/QHD (1440p),,HDMI2.0,FEELWORLD,1.0,0.95,FEELWORLD F7 Plus Camera Field Touchscreen Monitor 7 Inch 1200nit Hight Brightness 1920x1200 IPS HDMI2.0 3D Lut HDR Waveform with F970 External Power for Sony Canon Nikon Fuji Photography,1767.0,
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,Wired,beyerdynamic,1.0,0.95,"beyerdynamic DT 770 PRO 80 Ohm Over-Ear Studio Headphones in Gray. Enclosed design, wired for professional recording and monitoring",1768.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,1.0,"HP 215A Yellow Toner Cartridge for HP Printers | Works with Printer Series: Color LaserJet Pro M155, Color LaserJet Pro MFP M182, M183 | W2312A",1769.0,
Cameras & Photography,Mainstream,New,False,Current-Gen,,,,,,FHD (1080p),,WiFi 6,TP-Link,1.0,0.95,"Tapo by TP-Link Pan/Tilt Security Camera for Baby Monitor, Pet Camera w/Motion Detection, 1080P, 2-Way Audio, Night Vision, Cloud & SD Card Storage, Works with Alexa & Google Home, Black (Tapo C201)",1770.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,256.0,,,,,,,Samsung,1.0,0.95,Nintendo Samsung MicroSD Express Card 256 GB (UK Version),1771.0,
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,Bluetooth,DEWALT,1.0,0.9,"DEWALT 20V MAX Bluetooth Speaker, 100 ft Range, Durable for Jobsites, Phone Holder Included, Lasts 8-10 Hours with Single Charge (DCR010)",1772.0,
Accessories & Consumables,Budget,New,False,Current-Gen,,,,,,,,,Amazon Basics,1.0,0.95,"Amazon Basics Steel Home Security Electronic Safe with Programmable Keypad Lock for Documents, Jewelry, Valuables, 1.8 Cubic Feet, Black, 13.8""W x 13""D x 19.7""H",1773.0,
Accessories & Consumables,Budget,New,False,Current-Gen,,,,,,,,,Motorola,4.0,1.0,Motorola Moto tag (4-Pack),1774.0,
