category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,model_used,original_title,original_row_id
Mobile Devices,tablet,Mainstream,New,True,Current-Gen,SAMSUNG,0.95,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,10.9,,,90.0,,,,,,,,,,,,,,,,,,,8.0,128.0,,,,,,,,,,Galaxy Tab S10 FE,WiFi,True,,True,,,True,,,,,,,,,,,,,gpt-4o-mini,"SAMSUNG Galaxy Tab S10 FE w/S-Pen (128GB, 8GB, WiFi) 10.9” 90Hz Full HD Android Tablet, Octa-core (4nm), 4K Camera, IP68 Water Resistant SM-X520 (Blue)",301
Displays & Mounting,tv,Mainstream,New,True,Current-Gen,LG,1.0,,,,,,,,,,,,,,,,,,,,,,4K_UHD,,,,,,,,,,,,,,,,,55.0,4K_UHD,OLED,,True,,,,,,,4K,,,,,,,,,,,,,,,,,,,,,,OLED55B4PUA,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"LG 55-Inch Class OLED B4 Series Smart TV 4K Processor Flat Screen with Magic Remote AI-Powered with Alexa Built-in (OLED55B4PUA, 2024)",302
Audio & Media Systems,microphone,Mainstream,New,False,Current-Gen,Shure,0.95,,,,,,,,,,,,,,,,,,,,dynamic,,,,,,,,,,,,,,,,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Shure BLX24/PG58 Wireless Microphone System - 14-Hour Battery Life, 300 ft Range, UHF | Includes PG58 Handheld Vocal Mic, Single Channel Receiver | H9 Band (BLX24/PG58-H9)",303
Peripherals & Input,excluded,Mainstream,New,True,Current-Gen,HORI,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Nintendo Switch Mario Kart Racing Wheel Pro Deluxe By HORI,USB - Officially Licensed By Nintendo",304
"Cameras, Photography & Video",lens,Mainstream,New,True,Current-Gen,Sony,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zoom,6.3,,,,,,,,,,,,,,,,Alpha 70-350mm F4.5-6.3 G OSS,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Sony Alpha 70-350mm F4.5-6.3 G OSS Super-Telephoto APS-C Lens,305
Displays & Mounting,monitor,Mainstream,New,False,Current-Gen,Lenovo,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.45,FHD_1080p,,75.0,,,Tilt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Lenovo L22e-40 Monitor, 21.45” FullHD Resolution, 250 nits Brightness, 75Hz Refresh Rate, AMD FreeSync, HDMI and VGA Ports, Tilt-Adjustable Stand, Natural Low Blue Light, Cloud Grey",306
"Office, Printing & Power",label_printer,Mainstream,New,False,Current-Gen,Avery,0.9,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Avery Customizable Name Badges, Pin Style, 2.25"" x 3.5"", Clear Name Tag Holders, White Laser/Inkjet Printable Inserts, 100 Total (74549)",307
"Cameras, Photography & Video",excluded,Mainstream,New,False,Current-Gen,ZHIYUN,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"ZHIYUN MOLUS G300 [Official], 300W COB Bi-Color LED Video Light, Bowens Mount, 500W MAX Extreme Mode, App Control, Ultra Quiet, 2700K-6500K, CRI 95+ TLCI 97+ 15500Lux/1M,14 Lighting Effects",308
Peripherals & Input,keyboard,Mainstream,New,True,Current-Gen,CORSAIR,0.95,,,,,,,,,,,,,,,,,,,,,,,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,False,,,,gpt-4o-mini,"CORSAIR K70 MAX RGB Magnetic Mechanical Wired Gaming Keyboard – MGX Adjustable Switches, Simultaneous SOCD and Rapid Trigger, PBT Double-Shot Keycaps, Sound Dampening, 8000Hz Polling, QWERTY NA, Black",309
Peripherals & Input,usb_flash_drive,Mainstream,New,False,Current-Gen,SanDisk,0.95,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash,,gpt-4o-mini,"SanDisk 32GB 3-Pack Ultra Fit USB 3.1 Flash Drive (3x32GB) - SDCZ430-032G-G46T, Black",310
Displays & Mounting,monitor,Mainstream,New,False,Current-Gen,ViewSonic,0.95,,,,,,,,,,,,,,,,,,,,,,1080p,,,True,,,,,,,,,,,,,,24.0,FHD_1080p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,gpt-4o-mini,"ViewSonic TD2423D 24 Inch 1080p 10-Point Multi IR Touch Screen Monitor with Eye Care HDMI, VGA, USB Hub and DisplayPort",311
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Scosche,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Scosche ICGM10BN Complete Double/Single DIN Stereo Installation Kit for Select Non-Amplified 2006-17 General Motors Vehicles - No Steering Wheel Remote - See Fit Guide in Images to Verify Your Vehicle,312
Peripherals & Input,mouse,Mainstream,New,False,Current-Gen,Corsair,0.95,,,,,,,,,,,,,,,,,,,,,,,,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,False,,,,gpt-4o-mini,"Corsair Harpoon PRO - RGB Gaming Mouse - Lightweight Design - 12,000 DPI Optical Sensor, Wired Pro",313
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,Lenovo,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,Intel Core i3-1115G4,,,8.0,256.0,,,,,,,,,,Ideapad 3,,,,,,,True,,,,,,,,,,,,,gpt-4o-mini,"Lenovo 2022 Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",314
Computers & Gaming,headphones,Mainstream,New,False,Current-Gen,Logitech,0.9,,,,,,,,,,,,,,,,,,,over-ear,dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,False,,,,gpt-4o-mini,"Logitech G Astro A10 Gen 2 Cross-Platform Wired Gaming Headset for PlayStation 5/4, Xbox S|X, Nintendo Switch, PC: 3.5mm Headphone Jack, 32mm Drivers, Flip-to-Mute Mic, Over-Ear - Grey",315
Networking & Smart Home,router,Mainstream,New,False,Current-Gen,ASUS,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_6_AX,AX1800,,Dual-Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,gpt-4o-mini,"ASUS RT-AX55 AX1800 Dual Band WiFi 6 Gigabit Router, 802.11ax, Lifetime internet security, Parental Control, Mesh WiFi support, MU-MIMO, OFDMA, 4 Gigabit LAN Ports, Beamforming",316
"Office, Printing & Power",charger,Mainstream,New,True,Current-Gen,Samsung Electronics,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Samsung Electronics Wireless Charger Trio, Qi Compatible - Charge up to 3 Devices at Once - for Galaxy Phones, Buds, Watches, and Apple iPhone Devices, Black (US Version)",317
Networking & Smart Home,switch,Mainstream,New,True,Current-Gen,Ubiquiti Networks,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Ubiquiti Networks Unifi 48Port Pro Switch Gen2 (USW-PRO-48-POE),318
Networking & Smart Home,smart_alarm,Mainstream,New,False,Current-Gen,SimpliSafe,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battery,WiFi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,SimpliSafe KeyFob - Arm and Disarm Remotely - Built-in Panic Button - Compatible with SimpliSafe Home Security System - Latest Gen,319
Displays & Mounting,projector,Mainstream,New,False,Current-Gen,Epson,0.95,,,,,,,,,,,,,,,5.0,,,,,,,1080p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Epson EpiqVision Flex CO-FH02 Full HD 1080p Smart Streaming Portable Projector, 3-Chip 3LCD, 3,000 Lumen Color/White Brightness, Android TV, Bluetooth, 5W Speaker, Home Entertainment",320
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,1.0,,False,False,,,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,,,,,,,,gpt-4o-mini,"HP 56 Black Ink Cartridge | Works with HP DeskJet 450, 5000, 9600; PhotoSmart 7000; OfficeJet 4000, 5000, 6110; Digital Coper Printer 410; PSC 1000, 2000; Fax 1240 Series | C6656AN",321
"Office, Printing & Power",toner_ink,Mainstream,New,True,Current-Gen,HP,1.0,Inkjet,True,False,A4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,,,,,,,,gpt-4o-mini,"HP 972X PageWide High Yield Magenta Ink Cartridge for HP Printers | Works with Printer Series: PageWide Pro 452, 477, 552dw, 577 | L0S01AN",322
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,Logitech,0.95,,,,,,,,,,,,,,,,,,,over-ear,condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Logitech Zone 300 Wireless Bluetooth Headset with Noise-Canceling Microphone, Compatible with Windows, Mac, Chrome, Linux, iOS, iPadOS, Android – Off-White",323
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,Dell,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_6E_AXE,,,,,,,,,15.6,FHD_1080p,,,,,,,,,,,,,,,,,,i5-1335U,,,16.0,512.0,DDR5,,,,,,,,,Latitude 3550,,,,,,,,,USB4 Type-C,,,,,,,,,SSD,,gpt-4o-mini,"Dell Latitude 3550 Laptop Computer for Business Work, Intel 10-Core i5-1335U (Beat i7-1255U), 16GB DDR5 RAM, 512GB PCIe SSD, 15.6"" FHD, WiFi 6E, Bluetooth 5.3, FHD Camera, USB4 Type-C, Windows 11 Pro",324
PC Components (Core),excluded,Mainstream,New,False,Current-Gen,Arduino,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Arduino Mega 2560 REV3 [A000067] – ATmega2560, 16MHz, 54 Digital I/O, 16 Analog Inputs, 256KB Flash, USB, Compatible with Arduino IDE for Advanced Projects",325
"Cameras, Photography & Video",mirrorless_dslr,Mainstream,New,True,Current-Gen,Sony,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full-Frame,4K,False,,,,,,,,,,,,,,,,,,,,,ZV-E1,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Sony Alpha ZV-E1 Full-Frame Interchangeable Lens Mirrorless Vlog Camera - Black Body,326
Peripherals & Input,sd_card,Mainstream,New,False,Current-Gen,PNY,0.95,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash,,gpt-4o-mini,"PNY 32GB Elite Class 10 U1 V10 SDHC Trail Camera Flash Memory Read Up to 100MB/s, UHS-I, HD Photo, HD Video, for Outdoor Cameras, DSLR Cameras, Tactile Use, Wildlife Enthusiasts, 10-Pack",327
"Office, Printing & Power",charger,Mainstream,New,False,Current-Gen,Energizer,0.95,,,,,,,,,,,,9.0,Wh,,,,,,,,,,,,,,,,,,,,,,,Wired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Energizer Recharge Universal Charger for NiMH Rechargeable AA, AAA, C, D, and 9V Batteries",328
Accessories,protection_case,Mainstream,New,True,Current-Gen,OtterBox,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plastic,iPhone XR,,,,,,,,gpt-4o-mini,"OtterBox iPhone XR Defender Series Case - BLACK, rugged & durable, with port protection, includes holster clip kickstand",329
PC Components (Core),ram,Mainstream,New,False,Current-Gen,Crucial,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDR4,,,32.0,,DDR4,,,,,,,,,CT2K16G4SFD832A,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Crucial RAM 32GB Kit (16GBx2) DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT2K16G4SFD832A,330
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,Poly,0.9,,,,,,,,,,,,,,,,,,,over-ear,condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C,,,,,,M-to-F,False,,,,gpt-4o-mini,Poly Blackwire 5220 Stereo USB-C Headset + 3.5mm Plug + USB-C/A Adapter,331
Accessories,adapter,Mainstream,New,False,Current-Gen,Belkin,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C,,,,,,M-to-F,False,,,,gpt-4o-mini,"Belkin USB-C to Ethernet Adapter, Gigabit Ethernet Port Compatible w/ USB-C Devices, USB-C to Ethernet Cable for MacBook Pro & Dell XPS 13” Laptops, Ethernet USB-C Hub, Ethernet USB-C Adapter - Black",332
Computers & Gaming,accessory,Mainstream,New,False,Current-Gen,Nintendo,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Joy-Con (L)/(R) - Pastel Purple/Pastel Green (Japan Stock),333
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,Lenovo,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,FHD_1080p,,,,,,,,,,,,,,,,,,MediaTek Kompanio 520,,,4.0,128.0,,,,,,,,,,Chromebook 14,,,,,,,True,,,,,,,,,,,,,gpt-4o-mini,"Lenovo Chromebook 14 Touchscreen Laptop (14"" FHD Touch Display, 8-Core MediaTek Kompanio 520, 4GB RAM, 128GB Storage (64GB eMMC+64GB SD)), Webcam, 13-Hrs Long-Battery Life, Chrome OS, Abyss Blue",334
Audio & Media Systems,receiver,Mainstream,New,False,Current-Gen,Pioneer,0.9,,,,,,,,,,,,,,4.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Pioneer DEH-S4220BT 1-Din CD Receiver – Bluetooth, USB/AUX, Color Change, FLAC, AM/FM Radio, Detachable Face, 50W x 4, Voice Control, Hi-Volt RCA Preouts",335
Accessories,cable,Mainstream,New,False,Legacy,Amazon Basics,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.668,RCA,False,,,,,M-to-M,False,,,,gpt-4o-mini,"Amazon Basics 1 RCA Audio Cable for Subwoofer, Amplifiers, Active Speakers with Gold-Plated Plugs, Black, 35 feet",336
Accessories,remote_control,Mainstream,New,False,Current-Gen,GE,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"GE Blue Backlit Buttons Universal Remote Control, Samsung TV Remote Control Replacement, Samsung Remote Control for Smart TV, Roku Remote Replacement, Vizio, LG TV, Sony, 4-Device, Brushed Black 48843",337
PC Components (Core),cpu,Mainstream,New,False,Current-Gen,Intel,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i5-14400F,,,,,Gen4,,,,,,,,,i5-14400F,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Intel Core i5-14400F LGA 1700 Processor BX8071514400F,338
Audio & Media Systems,soundbar,Mainstream,New,False,Current-Gen,Philips,0.9,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Philips B4000 Soundbar for TV, 2.0 Channel Sound, BT LE Audio, Easy Setup, EasyLINK, Roku TV Ready, Remote Control",339
Audio & Media Systems,speaker,Mainstream,New,False,Current-Gen,Philips,0.9,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Philips Portable CD Player Boombox - Portable MP3 Player and Cassette Tape Player, Boom Box Compact Stereo Sound System with Dynamic Bass Boost, Take Your Music Outside with USB HiFi Music Player",340
Displays & Mounting,tv,Mainstream,New,False,Current-Gen,TCL,0.95,,,,,,,,,,,,,,,,,,,,,,4K_UHD,,,,,,,,,,,,,,,,,55.0,4K_UHD,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55S435,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"TCL 55"" Class 4-Series 4K UHD HDR Smart Roku TV – 55S435, 2021 Model",341
Peripherals & Input,mouse,Mainstream,New,False,Current-Gen,HP,0.95,,,,,,,,,,,,,,,,,,,,,,,,1600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"HP X3000 G2 Wireless Mouse - Ambidextrous 3-Button Control, & Scroll Wheel Multi-Surface Technology, 1600 DPI Optical Sensor Win, Chrome, Mac OS Up to 15-Month Battery Life (‎28Y30AA#ABA, Black)",342
"Office, Printing & Power",excluded,Mainstream,New,False,Current-Gen,Amazon Basics,0.9,,,,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Amazon Basics Comb Binding Machine, 350 Sheets Capacity, for paper sizes A5(15 holes)/Letter(19 holes)/A4(21 holes) with Adjustable Margin, Grey",343
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Avery,0.9,,,,A4,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Avery Printable Postcards with Sure Feed Technology, 4"" x 6"", White, 100 Blank Postcards for Laser Printers (5389)",344
Mobile Devices,excluded,Mainstream,New,False,Current-Gen,Yealink,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Yealink W73P IP Phone - Cordless - Corded - DECT - Wall Mountable - Space Gray, Classic Gray",345
Computers & Gaming,handheld_gaming,Mainstream,New,True,Current-Gen,ASUS,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,FHD_1080p,,120.0,,,,,,,,,,,,,,,,AMD Ryzen Z1 Extreme,,,16.0,512.0,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,gpt-4o-mini,"ASUS ROG Ally 7"" 120Hz FHD 1080p Gaming Handheld Touchscreen AMD Ryzen Z1 Extreme 16GB RAM 512GB White",346
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Woods,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Woods Heavy Duty Metal Extension Cord Reel Stand, Holds up to 100 Ft 14/3 Cords, Black, 22849",347
"Cameras, Photography & Video",mirrorless_dslr,Mainstream,New,True,Current-Gen,Panasonic,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full-Frame,6K,,L-Mount,24.1,,,,,,,,,,,,,,,,,,,DC-S1M2,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Panasonic LUMIX S1II 6K Digital Camera, Mirrorless Full Frame Camera Hybrid Shooting with 24.1MP, 5.1K 60p Open Gate Video, 15 Stops Dynamic Range, Prores RAW HQ Internal Recording, L-Mount - DC-S1M2",348
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Orion,0.9,,,,,,,,,,,,,,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Orion Cobalt Series CBA2500.4 High Efficiency 4-Channel Class A/B Amplifier for Car Audio Stereo – 2500W High Output, 2/4 Ohm Stable, Adjustable Low/High Pass, Bass Boost, MOSFET Power Supply",349
PC Components (Core),case_fan,Mainstream,New,False,Current-Gen,ARCTIC,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"ARCTIC P12 Pro - Powerful Premium Fan, 120 mm PWM Fan, 600-3000 RPM, 0 RPM <5% PWM, Fluid Dynamic Bearing, 4-Pin - Black",350
"Cameras, Photography & Video",security_cam,Mainstream,New,False,Current-Gen,eufy,0.95,,,,,,3.0,,,,,,,,,,,,,,,,1080p,,,,,,,,,,,,,,Battery,WiFi,True,,,,,True,,,,,,,1080p,,,,,,,,,,,,,,,,,,,,,,eufyCam 2C,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"eufy Security, eufyCam 2C 3-Cam Kit, Security Camera Wireless Outdoor, Home Security System, HomeKit Compatibility, 1080p HD, IP67, Night Vision, Motion Only Alert, No Monthly Fee",351
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Carhartt,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Carhartt 35L Triple-Compartment Backpack, Durable Pack with Laptop Sleeve and Duravax Abrasion Resistant Base, Black",352
PC Components (Core),case_fan,Mainstream,New,False,Current-Gen,ARCTIC,0.95,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"ARCTIC P12 PWM PST A-RGB (3 Pack) - PC Fans, 120mm PWM Case Fan Optimized for Static Pressure, Semi-Passive: 200–2000 RPM (0 RPM <5%), 5V 3 pin ARGB LED - Black",353
"Office, Printing & Power",scanner,Mainstream,New,False,Current-Gen,Brother,0.95,,,,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Brother DS-940DW Duplex and Wireless Compact Mobile Document Scanner,354
"Cameras, Photography & Video",video_conf_system,Mainstream,New,True,Current-Gen,Logitech,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Logitech Rally Bar Mini All-in-One Video Bar for Small to Medium Rooms, Graphite",355
Accessories,adapter,Mainstream,New,False,Current-Gen,Acer,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C,,,"MacBook Pro/Air, iPad, iPhone 16/15",,,,,,,100.0,gpt-4o-mini,"Acer USB C to HDMI Multiport Adapter, 7 in 1 USB-C Hub with HDMI 4K@60Hz, 100W PD, 2 USB-A 3.1 and 1 USB C 3.1 with 5Gbps, SD Card Reader, Type C Dongle for MacBook Pro/air, iPad, iPhone 16/15, Grey",356
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,1.0,Laser,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"HP 507A Cyan Toner Cartridge | Works with HP LaserJet Enterprise 500 color M551, MPF M575, MPF M570 Series | ACE401A",357
