category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,case_keyboard,product_rating,is_best_seller,is_sponsored,buy_box_availability,sustainability_tags,has_coupon,discount_percentage,log_original_price,log_purchased_last_month,log_total_reviews,brand_subtype
PC Components (Core),motherboard,Mainstream,New,False,Current-Gen,GIGABYTE,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMD B650,,,,,DDR5,,,B650,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.4,No Badge,Organic,0,0,0,0.0,4.881285622068407,6.90875477931522,6.436150368369428,GIGABYTE_motherboard
Networking & Smart Home,wifi_adapter,Mainstream,New,False,Current-Gen,TP-Link,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_5_AC,,,Dual-Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB 3.0,,,,,,,True,,,,False,4.4,No Badge,Organic,1,0,0,0.08,3.2577118486533987,8.294299608857235,9.77121251322631,TP-Link_wifi_adapter
Networking & Smart Home,video_doorbell,Mainstream,New,False,Current-Gen,CHAMBERLAIN,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battery,WiFi,True,,,,,True,,,,,,,1080p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,3.8,No Badge,Sponsored,1,0,0,0.15,4.6150215020384655,6.90875477931522,4.454347296253507,CHAMBERLAIN_video_doorbell
PC Components (Core),thermal_paste,Mainstream,New,False,Current-Gen,Corsair,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.0,2.1838015570040787,8.699681400989514,9.87508807801443,Corsair_thermal_paste
"Office, Printing & Power",battery,Mainstream,New,False,Current-Gen,Amazon Basics,1.0,,,,,,1.0,,,,,,108.0,mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.0,3.8916161956504833,7.601402334583733,7.8119734296220225,Amazon Basics_battery
Computers & Gaming,laptop,Premium,New,True,Current-Gen,Lenovo,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,FHD_1080p,,,,,,,,,,,,,,,,,,Intel Ultra 7 165U vPro,,,32.0,1024.0,Gen4,,,,,,,,,ThinkPad X1 Carbon,,,,,,,True,,,,,,,,,,,SSD,,False,4.5,No Badge,Organic,1,0,0,0.0,7.390181428226429,5.993961427306569,4.5217885770490405,Lenovo_laptop
PC Components (Core),thermal_paste,Mainstream,New,False,Current-Gen,ARCTIC,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.43,2.7073833121145063,8.699681400989514,9.242710752006634,ARCTIC_thermal_paste
"Office, Printing & Power",toner_ink,Mainstream,New,True,Current-Gen,HP,1.0,,True,,,,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,0,0,0,0.0,5.902332741780143,6.90875477931522,7.392031567514591,HP_toner_ink
"Office, Printing & Power",toner_ink,Mainstream,New,True,Current-Gen,HP,1.0,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.0,5.54903717363235,6.803505257608338,4.356708826689592,HP_toner_ink
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Epson,0.95,,True,,,,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Workforce WF-2930, WF-2950, Expression XP-4200, XP-4205",,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.0,3.306520334720247,8.006700845440367,7.47477218239787,Epson_toner_ink
Displays & Mounting,mount_stand,Mainstream,New,False,Current-Gen,VIVO,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desk_arm,Full-Motion,2.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.4,No Badge,Organic,1,0,0,0.0,3.7133281345162463,7.601402334583733,9.66814489376492,VIVO_mount_stand
Accessories,protection_case,Mainstream,New,False,Current-Gen,ESR,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plastic,AirPods Pro,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.0,2.63834278867739,8.517393171418904,9.556833658307776,ESR_protection_case
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,Lenovo,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,Ryzen 5 5500U,,,16.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.4,No Badge,Organic,0,0,0,0.0,5.993886611540359,6.2166061010848646,6.680854678790215,Lenovo_laptop
Accessories,adapter,Mainstream,New,False,Current-Gen,UGREEN,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning to 3.5mm,,,iPhone,,,M-to-F,False,,,,False,4.5,No Badge,Organic,1,0,0,0.0,2.8326249356838407,8.294299608857235,9.284148299120902,UGREEN_adapter
Networking & Smart Home,wifi_adapter,Mainstream,New,False,Current-Gen,TP-Link,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_6_AX,AX3000,,Dual-Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,1,0.0,3.6373229671995344,8.006700845440367,9.333442569110169,TP-Link_wifi_adapter
Computers & Gaming,vr_headset,Mainstream,New,True,Current-Gen,PlayStation,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,PlayStation_5,,,,,,,,,,,,,,,,,,,,,,,False,4.2,Best Seller,Organic,0,0,0,0.0,5.580559670249453,0.0,7.690286020676768,PlayStation_vr_headset
Networking & Smart Home,router,Mainstream,New,False,Current-Gen,TP-Link,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_5_AC,AC1900,,Dual-Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer A8,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,1,0,0,0.25,4.3943256902608985,7.601402334583733,9.145481799627689,TP-Link_router
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,1.0,Inkjet,True,False,A4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,0,1,0,0.0,4.041119578762556,7.601402334583733,9.482502632769927,HP_toner_ink
Peripherals & Input,dock_hub,Mainstream,New,False,Current-Gen,UGREEN,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C,,,,,,,,,,,False,4.5,No Badge,Organic,1,0,0,0.22,3.177637076851603,8.294299608857235,9.376363155800634,UGREEN_dock_hub
PC Components (Core),gpu,Premium,New,True,Current-Gen,MSI,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTX 5090,32.0,,,,Gen5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.4,No Badge,Organic,0,0,0,0.0,7.773590260367752,5.707110264748875,3.044522437723423,MSI_gpu
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,SteelSeries,0.95,,,,,,,,,,,,,,,,,,,over-ear,condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,False,4.2,No Badge,Organic,1,0,0,0.15,5.30325515557766,6.90875477931522,8.858510813033927,SteelSeries_headphones
Peripherals & Input,sd_card,Mainstream,New,False,Current-Gen,PNY,0.95,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash,,False,4.7,No Badge,Organic,1,0,0,0.22,2.301584592660462,8.853808274977197,10.164427726544904,PNY_sd_card
Displays & Mounting,monitor,Mainstream,New,False,Current-Gen,ViewSonic,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,FHD_1080p,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,0,0,0,0.0,4.5107496103686,6.90875477931522,7.2115567333138015,ViewSonic_monitor
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,ASUS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,FHD_1080p,,144.0,,,,,,,,,,,,,,,,Ryzen 5 7535HS + RTX 3050,4.0,,8.0,512.0,DDR5,,,,,True,,,,FA506NC-ES51,,,,,,,,,,,,,,,,,,,,False,4.3,No Badge,Organic,1,0,0,0.19,6.685848462595922,5.993961427306569,6.1092475827643655,ASUS_laptop
Mobile Devices,smartwatch,Mainstream,New,True,Current-Gen,Samsung,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Watch 8,WiFi,,40.0,,,,,,,,,,,,,,,,,False,4.2,No Badge,Organic,1,0,0,0.0,5.860757733031528,6.90875477931522,4.912654885736052,Samsung_smartwatch
Accessories,cable,Mainstream,New,False,Current-Gen,Amazon Basics,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8288,DisplayPort 1.4,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.0,2.138889000323256,8.517393171418904,9.501067802613925,Amazon Basics_cable
Displays & Mounting,mount_arm,Mainstream,New,False,Current-Gen,Amazon Basics,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,desk_arm,Tilt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal,,,,,,,,,False,4.3,No Badge,Organic,1,0,0,0.0,3.319263998899469,8.006700845440367,9.729074639810214,Amazon Basics_mount_arm
PC Components (Core),gpu,Premium,New,True,Current-Gen,PNY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTX 5070,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.4,No Badge,Organic,1,0,0,0.0,6.311716660167896,6.2166061010848646,5.049856007249537,PNY_gpu
PC Components (Core),psu,Mainstream,New,True,Current-Gen,Thermaltake,0.95,,,,,,,,,,,,850.0,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80_Plus_Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.5,Amazon's,Organic,1,0,0,0.18,4.709440107163888,6.90875477931522,8.130059039992796,Thermaltake_psu
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,1.0,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.28,5.8749588203451575,6.90875477931522,4.0943445622221,HP_toner_ink
Audio & Media Systems,headphones,Mainstream,New,True,Current-Gen,Audio-Technica,0.95,,True,,,,,,,,,,,,,,,,,over-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.0,5.075173815233827,6.90875477931522,10.231963619116156,Audio-Technica_headphones
PC Components (Core),cpu,Mainstream,New,True,Current-Gen,AMD,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 9 7900X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.4,6.309918278226516,6.90875477931522,7.660585461703256,AMD_cpu
"Cameras, Photography & Video",instant_camera,Mainstream,New,False,Current-Gen,Polaroid,0.9,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.2,No Badge,Organic,1,0,0,0.0,4.670864289183454,7.601402334583733,7.787382026484701,Polaroid_instant_camera
Audio & Media Systems,speaker,Mainstream,New,False,Current-Gen,JBL,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,0,0,0,0.0,5.521460917862246,6.2166061010848646,6.3578422665081,JBL_speaker
"Office, Printing & Power",battery,Mainstream,New,False,Current-Gen,Duracell,0.95,,,,,,1.0,,,,,,2800.0,mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,1,0,0,0.24,3.7612001156935615,7.601402334583733,8.324821298768782,Duracell_battery
"Cameras, Photography & Video",instant_camera,Mainstream,New,False,Current-Gen,Fujifilm,0.9,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,1,0,0,0.0,5.129602813160299,6.90875477931522,7.450079569807499,Fujifilm_instant_camera
Audio & Media Systems,earbuds,Mainstream,New,True,Current-Gen,Bose,0.95,,,,,,,,,,,,,,,,,,,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.0,No Badge,Organic,0,0,0,0.0,5.375139509149321,6.90875477931522,8.36822903827628,Bose_earbuds
Accessories,screen_protector,Mainstream,New,False,Current-Gen,ESR,0.95,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.3,No Badge,Organic,1,1,0,0.0,2.9439125248241944,8.517393171418904,9.574080300037034,ESR_screen_protector
Networking & Smart Home,modem,Mainstream,New,False,Current-Gen,ARRIS,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_6_AX,AX3000,,Dual-Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.2,No Badge,Organic,1,0,0,0.1,5.398117451625214,6.90875477931522,8.258163361537619,ARRIS_modem
PC Components (Core),hdd_internal,Mainstream,New,False,Current-Gen,Seagate,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048.0,,,,,,,,,,,,,,,,,,,USB 3.2 Gen 1,,,,,,,,,HDD,,False,4.3,No Badge,Organic,1,0,0,0.0,4.5107496103686,7.601402334583733,7.708410667257367,Seagate_hdd_internal
"Office, Printing & Power",battery,Mainstream,New,False,Legacy,Energizer,0.95,,,,,,2.0,,,,,,9.0,Wh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.32,2.3282528397426234,8.853808274977197,9.84161214881804,Energizer_battery
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,EPSON,0.95,,True,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,1,0,0,0.0,3.931629535067065,7.601402334583733,8.572438665642215,EPSON_toner_ink
Displays & Mounting,monitor,Mainstream,New,True,Current-Gen,ASUS,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,QHD_1440p,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VG27AQ3A,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,1,0,0,0.06,5.521460917862246,6.2166061010848646,8.234564993267135,ASUS_monitor
Accessories,cable,Mainstream,New,False,Current-Gen,AINOPE,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.048,USB-C 3.2,,,,,,M-to-M,,,,,False,4.6,No Badge,Organic,1,1,0,0.25,2.5641798306825083,8.699681400989514,9.543521484499182,AINOPE_cable
"Cameras, Photography & Video",digital_camera,Mainstream,New,True,Current-Gen,Canon,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.3,No Badge,Organic,0,0,0,0.0,6.551080335043404,6.2166061010848646,7.328437352895162,Canon_digital_camera
PC Components (Core),ram,Mainstream,New,True,Current-Gen,G.SKILL,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDR5,,,64.0,,DDR5,,,,,,,,,Trident Z5 Neo RGB,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,0,0,0,0.0,5.388112365664251,6.2166061010848646,6.618738983517219,G.SKILL_ram
Audio & Media Systems,earbuds,Mainstream,New,True,Current-Gen,Shure,0.95,,,,,,,,,,,,,,,,,,,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,4.4,No Badge,Organic,1,0,0,0.0,4.700480365792417,6.90875477931522,9.191565216649847,Shure_earbuds
"Office, Printing & Power",printer,Mainstream,New,False,Current-Gen,Epson,0.95,Inkjet,True,True,A4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.2,No Badge,Organic,1,1,0,0.0,5.19295685089021,6.90875477931522,7.877017895622398,Epson_printer
Accessories,adapter,Mainstream,New,False,Current-Gen,UGREEN,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C,,,"Mac M1, M2, M3, iPad, iPhone 16 Pro/Pro Max, Steam Deck",,,,,,,100.0,False,4.5,No Badge,Organic,1,1,0,0.0,3.433664571799657,6.90875477931522,7.7488913372555315,UGREEN_adapter
Computers & Gaming,chromebook,Mainstream,New,False,Current-Gen,Lenovo,0.95,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,WiFi_6_AX,,,,,,,,,14.0,FHD_1080p,,,,,,,,,,,,,,,,,,MediaTek Kompanio 520,,,4.0,224.0,,,,,,,,,,IdeaPad Slim 3 Chromebook,,,,,,,True,,,,,,,,,,,,,False,4.4,No Badge,Organic,1,0,0,0.0,5.634789603169249,6.2166061010848646,6.894670039433482,Lenovo_chromebook
Peripherals & Input,external_drive,Mainstream,New,False,Current-Gen,PNY,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,,,,,,,,,,,,,,,,,,,USB 3.2 Gen 1,,,,,,M-to-M,False,,Flash,,False,4.5,No Badge,Organic,1,0,0,0.07,2.771963526845863,8.294299608857235,7.696212639346407,PNY_external_drive
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,Logitech,0.95,,,,,,,,,,,,,,,,,,True,over-ear,condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,3.9,No Badge,Organic,1,0,0,0.0,4.6150215020384655,6.90875477931522,7.1891677384203225,Logitech_headphones
Displays & Mounting,monitor,Mainstream,New,True,Current-Gen,LG,0.95,,,,,,,,,,,,,,,,,,,,,,4K_UHD,,,,,,,,,,,,,,,,,27.0,4K_UHD,,60.0,,,Tilt,1.0,,,,4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.4,No Badge,Organic,1,0,0,0.13,5.94277312806309,6.2166061010848646,4.584967478670572,LG_monitor
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,SHOKZ,0.95,,,,,,,,,,,,,,,,,,,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.4,No Badge,Organic,0,1,0,0.0,4.393831680123644,7.601402334583733,9.933677223699185,SHOKZ_headphones
"Cameras, Photography & Video",instant_camera,Mainstream,New,False,Current-Gen,Polaroid,0.95,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,3.9,No Badge,Organic,1,0,0,0.0,5.081342251254203,6.90875477931522,5.703782474656201,Polaroid_instant_camera
"Office, Printing & Power",battery,Mainstream,New,False,Legacy,SureFire,0.9,,,,,,12.0,,,,,,12.0,mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,0,0,0,0.0,3.2276373305367736,8.006700845440367,9.66675204770245,SureFire_battery
Audio & Media Systems,earbuds,Mainstream,New,True,Current-Gen,Sony,0.95,,,,,,,,,,,,,,,,,,,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.3,No Badge,Organic,1,0,0,0.31,4.262539022051294,7.601402334583733,7.428333194190806,Sony_earbuds
Displays & Mounting,tv,Premium,New,True,Current-Gen,LG,1.0,,,,,,,,,,,,,,,,,,,,,,4K_UHD,,,,,,,,,,,,,,,,,77.0,4K_UHD,OLED,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLED77C4PUA,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,0,1,0,0.0,7.408833551293248,5.993961427306569,7.121252453244542,LG_tv
"Cameras, Photography & Video",webcam,Mainstream,New,False,Current-Gen,Insta360,0.95,,,,,,,,,,,,,,,,,,,,,,4K_UHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,1,1,0,0.27,5.017213609456379,6.90875477931522,6.246106765481563,Insta360_webcam
Mobile Devices,smartwatch,Mainstream,New,False,Current-Gen,Amazfit,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active 2,,,44.0,,,,,,,,Silicone,,,,,,,,,False,4.5,No Badge,Organic,1,0,0,0.0,4.6150215020384655,6.90875477931522,7.288927694521257,Amazfit_smartwatch
"Cameras, Photography & Video",security_cam,Mainstream,New,False,Current-Gen,TP-Link,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battery,WiFi,True,,,,,,,,,,,,1080p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.3,No Badge,Organic,1,1,0,0.22,4.5107496103686,6.90875477931522,7.85979918056211,TP-Link_security_cam
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,Acer,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_6_AX,,,,,,,,,15.6,FHD_1080p,,,,,,,,,,,,,,,,,,Intel Core 3 Processor N355,,,8.0,128.0,DDR5,,,,,,,,,Aspire Go 15,,,,,,,,,,,,,,,,,,Flash,,False,4.2,No Badge,Organic,1,0,0,0.14,5.860757733031528,6.2166061010848646,4.584967478670572,Acer_laptop
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Brother,0.95,,True,,,,4.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,1,0,0,0.0,3.806440242853081,7.601402334583733,6.638567789166521,Brother_toner_ink
Peripherals & Input,mouse,Mainstream,New,True,Current-Gen,Razer,0.95,,,,,,,,,,,,,,,,,,,,,,,Mechanical,6400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,False,4.4,No Badge,Organic,1,1,0,0.3,3.433664571799657,8.294299608857235,9.554780778246572,Razer_mouse
